title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Space Pirate Captain Harlock: Mystery Of The Arcadia,1978,"Rintaro,Leiji Matsumoto",34,149,18,3.3,0,1,2,2,9,17,16,10,0,6
Danny's Doomsday,2014,Martin Barnewitz,88,160,14,2.8,3,6,12,22,29,21,10,6,0,2
Occupants,2015,Russ Emanuel,81,122,8,2.7,4,13,14,15,18,9,13,10,1,0
Psycho a Go-Go,1965,Al Adamson,85,84,10,2.8,2,7,11,5,10,14,3,0,0,1
Vampire Vixens from Venus,1995,Ted A. Bohus,90,67,7,2.9,2,9,5,6,2,6,2,1,0,1
Epsilon,1997,Rolf de Heer,92,84,6,3.0,4,4,5,7,7,9,6,6,2,0
Robots of Brixton,2011,Kibwe Tavares,6,141,13,3.1,0,4,5,10,14,20,16,9,0,1
The Making of 'The X Files: Fight the Future',1998,,27,344,38,3.5,3,0,2,1,6,39,25,24,3,16
Dragon Wasps,2012,Joe Knee,80,170,8,2.3,14,30,17,19,12,5,5,2,2,1
Aftershock,1990,Frank Harris,91,79,9,2.8,2,2,10,18,4,6,2,1,1,1
Stonados,2013,Jason Bourque,90,167,11,2.0,34,26,14,12,8,4,1,2,0,0
Fireball,2009,Thanakorn Pongsuwan,94,166,12,2.8,6,7,15,16,17,26,4,8,2,2
Lost City Raiders,2008,Jean de Segonzac,90,217,5,2.1,22,36,14,20,14,12,1,1,0,0
Alternate Realities,2015,Amir Valinia,101,170,1,3.6,1,2,2,7,8,13,20,29,18,16
You're So Cupid,2010,John Lyde,93,285,21,2.4,21,20,14,22,12,22,4,3,0,7
Dr. Sex,1964,Ted V. Mikels,63,78,4,2.6,3,10,10,13,8,5,0,0,0,0
The Singing Forest,2003,Jorge Ameer,72,64,3,2.3,29,3,3,2,2,1,0,0,0,1
Unseen Evil 2,2004,,81,120,7,2.4,23,12,7,12,3,5,0,2,0,4
Horror of the Humongous Hungry Hungan,1991,Randall Dininni,98,65,2,2.9,3,7,5,7,1,6,0,2,0,1
Snakeman,2005,Allan A. Goldstein,96,145,4,2.2,19,19,12,16,9,5,1,2,0,0
Insectula,2015,Michael Peterson,101,101,14,2.7,5,11,8,18,9,10,5,4,0,0
Day of Reckoning,2016,Joel Novoa,85,114,11,2.4,17,12,14,17,10,6,3,3,1,1
The Ash Lad: In Search of the Golden Castle,2019,Mikkel Brænne Sandemose,99,121,12,3.0,4,5,4,10,15,27,12,8,0,1
Ever Since the World Ended,2001,"Calum Grant,Joshua Atesh Litle",78,96,7,3.2,1,4,1,4,10,18,4,6,3,2
Firebird 2015 A.D.,1981,David M. Robertson,97,62,2,2.6,3,13,8,8,3,3,3,0,0,0
Daicon Film's Return of Ultraman,1983,Hideaki Anno,28,117,33,3.4,0,0,2,1,5,26,12,7,1,5
Martians Go Home,1990,David Odell,89,146,5,2.4,8,20,17,14,6,3,1,2,0,2
Skeleton on Horseback,1937,Hugo Haas,103,96,19,3.6,0,0,1,3,3,7,16,21,5,7
Dragon Head,2003,George Iida,122,142,11,2.9,2,4,8,14,17,16,7,7,3,0
Zombies of the Stratosphere,1952,Fred C. Brannon,167,81,11,2.9,1,3,5,9,13,9,1,0,0,1
The Visitor,2002,William Shatner,92,81,4,2.4,12,16,4,7,0,5,0,1,0,0
Mandrake,2010,Tripp Reed,89,161,8,2.3,16,18,17,25,9,9,2,2,0,1
Ninja Apocalypse,2014,Lloyd Lee Barnett,84,135,12,2.3,9,29,14,21,13,7,3,3,0,0
A Date in 2025,2017,Ryan Turner,13,172,27,3.2,2,2,1,8,18,43,31,13,0,3
Loss of Feeling,1935,Aleksandr Andriyevsky,85,59,5,3.3,0,0,2,5,5,12,5,7,1,1
Robocop: The Future of Law Enforcement,1994,Paul Lynch,86,189,25,2.9,3,6,6,16,18,18,8,9,0,2
Lovers Beyond Time,1990,Dimitris Panayiotatos,85,52,16,3.4,0,1,0,0,4,12,8,8,0,4
K-9 and Company: A Girl's Best Friend,1981,John Black,50,161,23,2.8,2,8,7,20,12,19,6,7,2,1
End of the World,2013,Steven R. Monroe,85,173,21,2.6,8,16,12,23,18,24,8,2,1,3
Gokaiger Goseiger Super Sentai 199 Hero Great Battle,2011,Noboru Takemoto,84,187,50,3.5,0,1,0,7,5,21,19,28,4,10
The Dust Factory,2004,Eric Small,99,237,21,2.7,8,12,13,17,11,18,7,2,3,8
Robot Stories,2003,Greg Pak,85,180,7,2.9,1,4,7,16,19,35,16,2,3,1
Ice Soldiers,2013,Sturla Gunnarsson,95,170,8,2.3,16,19,16,30,15,13,4,1,1,2
Desert Warrior,1989,Jim Goldman,89,72,3,2.8,1,12,6,8,3,2,4,3,1,1
Demonicus,2001,Jay Woelfel,72,98,10,2.5,5,18,9,9,7,9,1,3,0,0
Becoming,2020,Omar Naim,98,107,16,2.8,3,4,11,20,18,21,3,6,2,1
The Strange Case of Dr. Jekyll and Mr. Hyde,1968,Charles Jarrott,120,100,17,3.1,2,2,3,5,10,16,8,8,1,1
Dimension 5,1966,Franklin Adreon,91,73,8,2.9,0,5,4,13,9,9,4,1,0,0
Swingers,2009,"Daniel Scheinert,Daniel Kwan",1,217,26,2.9,5,6,4,15,12,30,7,7,0,3
Shin Kamen Rider: Prologue,1992,Makoto Tsuji,88,149,32,3.1,1,4,3,13,14,26,14,9,1,2
Prehistoric Bimbos in Armageddon City,1991,"Todd Sheets,Mike Hellman,Charles Monroe",68,50,12,3.1,3,5,2,3,3,4,4,6,0,1
The Machine,1994,François Dupeyron,96,103,9,3.1,1,1,5,8,11,14,11,9,0,0
Deep Shock,2003,Phillip J. Roth,93,113,6,2.4,13,20,11,9,7,5,2,1,0,1
The 6 Ultra Brothers vs. the Monster Army,1974,"Shohei Tôjô,Sompote Sands",99,73,17,3.1,1,3,2,6,5,22,6,4,0,2
Kimera,1996,Kazuyoshi Yokota,55,129,13,2.6,8,12,9,14,8,15,4,2,0,2
Astronaut: The Last Push,2012,Eric Hayden,90,151,5,2.7,9,5,5,18,19,23,9,3,0,1
until You come to me.,2014,Tadashi Hiramatsu,6,227,44,3.2,1,1,8,9,17,26,17,14,1,9
House of Demons,2018,Patrick Meaney,90,89,5,2.5,12,16,7,10,9,5,4,1,2,1
Metal Man,2008,Ron Karkoska,87,105,6,2.1,30,19,8,4,1,1,1,0,0,3
Sum of Histories,2015,Lukas Bossuyt,86,197,17,3.1,0,4,2,20,25,37,23,21,1,1
Cyborg 009 vs Devilman,2015,Jun Kawagoe,90,211,20,2.9,1,8,7,18,25,34,20,8,1,1
The Death Ray,1925,Lev Kuleshov,125,61,4,3.2,0,0,2,3,7,5,8,4,0,0
Jurassic Attack,2012,Anthony Fankhauser,83,173,12,2.0,37,28,21,10,2,8,4,1,0,2
Prehysteria! 3,1995,David DeCoteau,84,202,15,2.7,4,13,10,11,12,15,4,2,0,2
Badlanders,1992,Armand Gazarian,90,86,6,2.5,7,16,13,10,3,5,0,2,0,0
Extinction: The G.M.O. Chronicles,2011,Niki Drozdowski,114,149,10,2.7,7,14,9,13,20,19,5,5,0,4
Cosmic Slop,1994,"Reginald Hudlin,Kevin Rodney Sullivan,Warrington Hudlin",83,62,15,3.5,0,0,0,1,2,8,10,11,1,2
Doctor Who: Logopolis,1981,Peter Grimwade,100,253,57,3.6,1,0,0,3,7,22,28,42,12,10
Frost,2010,Reynir Lyngdal,80,96,5,2.6,5,10,15,16,8,8,3,2,0,0
High Plains Invaders,2009,Kristoffer Tabori,87,117,8,2.7,4,7,11,16,20,11,4,3,2,0
Metal Tornado,2011,Gordon Yang,86,188,10,2.1,22,32,22,20,12,10,0,1,0,1
2047: Sights of Death,2014,Alessandro Capone,85,125,5,1.9,33,29,15,11,1,4,2,0,0,0
Godkiller: Walk Among Us,2010,Matt Pizzolo,73,72,8,3.0,4,3,1,6,8,7,3,3,3,0
V-World Matrix,1999,Ron Ford,75,80,4,2.3,16,19,2,3,0,1,0,0,0,1
The Last Serb in Croatia,2019,Predrag Ličina,90,181,18,2.9,7,11,16,18,15,25,9,16,4,9
Tasmanian Devils,2013,Zach Lipovsky,91,156,11,2.4,12,24,12,23,11,12,1,0,2,2
Steps,1987,Zbigniew Rybczynski,25,128,23,3.3,1,3,2,7,7,14,10,19,6,3
Choke Canyon,1986,Charles Bail,94,72,6,3.0,3,1,2,8,12,7,4,5,1,0
GoShogun: The Time Étranger,1985,Kunihiko Yuyama,90,121,27,3.5,0,1,0,4,4,8,15,14,5,6
Meatball Machine: Reject of Death,2007,Yoshihiro Nishimura,10,76,13,3.2,1,2,2,2,6,15,12,6,0,2
MegaFault,2009,David Michael Latt,90,211,12,2.2,21,25,29,21,7,13,4,1,2,1
Your Last Day on Earth,2019,Marc Martínez Jordán,15,122,43,3.7,0,0,1,2,1,11,21,25,20,5
Sundays,2015,Mischa Rozema,14,164,19,3.0,3,7,4,11,23,30,20,9,4,1
The Resurrection of Zachary Wheeler,1971,Bob Wynn,100,53,3,3.0,1,3,3,7,9,9,5,0,0,0
Timelike,2015,Richard Boylan,8,122,28,3.3,0,3,2,2,9,26,12,15,4,2
Riders to the Stars,1954,Richard Carlson,81,104,12,2.9,2,2,5,17,15,15,3,2,0,0
The Day the Earth Stopped,2008,C. Thomas Howell,90,195,10,2.3,24,21,9,23,12,15,3,3,0,0
The Adventures of the Electronic,1979,Konstantin Bromberg,215,277,32,3.4,2,2,3,3,14,12,32,23,5,8
The Mechanical Man,1921,André Deed,80,106,12,3.1,0,1,3,8,9,26,9,8,1,0
The Cape Canaveral Monsters,1960,Phil Tucker,69,86,10,2.8,3,8,9,12,5,5,3,1,1,1
Triassic World,2018,Dylan Vox,90,109,12,2.4,19,14,10,18,3,9,3,2,0,3
The Pink Chiquitas,1987,Tony Currie,83,64,4,2.8,4,5,4,10,10,7,0,0,0,1
Tiger & Bunny - The Movie: The Rising,2014,Yoshitomo Yonetani,108,191,28,3.5,1,1,0,4,6,20,37,17,11,11
Sore: Istri dari Masa Depan,2017,Yandy Laurens,107,232,52,3.8,0,1,0,0,5,15,32,90,14,18
Garakowa: Restore the World,2016,Masashi Ishihama,67,144,10,2.9,4,4,7,12,15,21,9,4,1,1
Princess Warrior,1989,Lindsay Norgard,83,95,6,2.3,17,18,8,5,0,0,0,1,0,1
End of Animal,2010,Jo Sung-hee,114,148,11,3.0,3,4,7,10,14,23,19,14,2,1
The World Sinks Except Japan,2006,Minoru Kawasaki,98,120,8,3.0,1,5,8,10,8,12,6,5,2,1
Hell Target,1987,Nakamura Keito,52,70,11,3.0,0,3,2,14,11,7,1,3,0,0
PLURALITY,2012,Dennis Liu,14,142,22,3.2,1,4,2,11,11,27,12,20,6,3
Beneath Loch Ness,2002,Chuck Comisky,96,170,5,2.3,12,21,12,20,8,4,5,0,0,0
Doctor Who: Carnival of Monsters,1973,Barry Letts,100,214,55,3.6,1,1,0,2,6,20,21,33,13,12
Razortooth,2007,Patricia Harrington,92,148,9,2.5,10,11,17,18,11,10,3,1,1,2
Doctor Who: Earthshock,1982,Peter Grimwade,100,245,59,3.9,0,0,0,1,4,12,20,30,17,38
Astartes,2018,,6,161,68,4.0,0,0,0,1,0,8,7,36,22,31
Bedmen,1973,Günay Kosova,62,91,13,2.4,14,17,5,9,2,4,4,0,0,1
Crazy Alien,2019,Hao Ning,116,187,10,2.9,4,16,10,16,22,32,24,16,2,3
Doctor Who: The Time Meddler,1965,Douglas Camfield,100,207,58,3.7,0,0,0,2,5,17,21,42,11,9
ESPY,1974,Jun Fukuda,94,69,14,3.4,0,2,0,3,2,9,10,5,3,5
The Varrow Mission,1978,Peter Semelka,88,61,11,2.9,2,7,1,9,5,5,2,1,0,0
Ninja Resurrection,1997,Yasunori Urata,80,197,12,2.6,15,8,14,10,17,14,8,6,0,2
Invisible Man Appears,1949,Nobuo Adachi,82,54,10,3.2,0,0,0,8,5,13,4,2,1,0
Shark Hunter,2001,,94,150,5,2.3,12,24,11,18,6,3,1,3,1,0
Cyborg X,2016,Kevin King,90,124,13,2.4,13,14,19,20,13,6,4,4,0,2
Doctor Who: Ghost Light,1989,Alan Wareing,75,218,58,3.6,0,2,4,5,9,16,19,25,19,20
Riverworld,2003,Kari Skogland,86,157,6,2.6,6,10,8,24,15,14,3,2,0,0
Doctor Who: Survival,1989,Alan Wareing,75,219,58,3.7,0,1,1,3,9,19,12,36,25,13
Zombie 108,2012,Joe Chie Jen-Hao,88,127,8,2.4,20,15,16,14,4,10,3,5,1,1
The Lost Missile,1958,William Berke,70,96,6,2.8,1,7,7,15,12,11,1,1,0,1
Doctor Who: The Web of Fear,1968,Douglas Camfield,150,172,53,3.7,0,1,0,1,3,16,19,17,15,17
Doctor Who: The Deadly Assassin,1976,David Maloney,100,215,63,4.0,0,0,0,1,3,12,18,25,23,40
Ragin Cajun Redneck Gators,2013,Griff Furst,90,139,16,2.5,8,18,17,16,9,12,4,8,1,2
Last Sunrise,2019,Wen Ren,103,128,34,3.5,1,1,1,5,5,21,22,30,5,6
Empire of Ash,1988,"Lloyd A. Simandl,Michael Mazo",86,71,7,2.8,3,5,10,8,5,5,3,1,0,0
We Are From The Future,2008,Andrey Malyukov,116,272,20,3.0,8,7,9,21,23,35,16,14,3,12
Moonland,1926,William A. O'Connor,11,162,23,3.2,0,2,5,8,11,23,16,8,2,2
Lovemilla,2015,Teemu Nikki,97,121,20,3.0,1,5,3,16,9,19,15,8,2,1
World Builder,2007,Bruce Branit,9,164,10,2.9,3,4,16,17,16,26,16,4,2,3
SpaceDisco One,2007,Damon Packard,58,76,15,3.3,2,3,2,1,4,7,10,15,3,1
Mobile Suit Gundam Unicorn - Episode 1: Day of the Unicorn,2010,Kazuhiro Furuhashi,58,244,57,3.5,2,0,3,4,9,24,33,40,11,10
Doctor Who Anime ドクター・フーのファン・アニメ,2011,Paul Johnson,12,166,43,3.3,1,4,2,9,10,29,16,14,3,9
In the Pines,2011,"Christopher Caldwell,Zeek Earl",8,113,25,3.3,1,0,2,3,14,19,11,13,2,2
LOCAL58 - Skywatching,2019,Kris Straub,4,212,51,3.2,0,3,6,9,11,43,25,9,5,9
Threshold,1981,Richard Pearce,97,93,7,3.0,0,4,3,10,6,21,11,3,0,0
The Last Patrol,2000,Sheldon Lettich,95,205,9,2.2,16,28,17,27,14,10,5,1,0,1
The Quatermass Experiment,2005,Sam Miller,97,184,15,2.9,1,7,5,12,21,22,13,5,0,0
Over-sexed Rugsuckers from Mars,1989,Michael Paul Girard,87,116,10,2.7,14,6,4,13,9,9,6,3,1,2
Planet Outlaws,1953,"Ford Beebe,Saul A. Goodkind",71,104,7,2.7,6,12,6,9,13,9,3,1,0,1
Legend of the Galactic Heroes: Golden Wings,1992,Keizou Shimizu,59,215,19,2.7,8,11,11,25,17,31,12,4,1,2
The Gate to the Mind's Eye,1994,Michael Boydstun,55,107,19,3.5,1,0,1,3,4,5,11,14,7,3
Plaguers,2008,Brad Sykes,86,117,21,2.7,5,13,9,12,10,14,11,4,0,0
Destination Moon,1992,Stéphane Bernasconi,42,470,57,3.5,0,0,0,9,10,42,34,33,8,17
Project Ithaca,2019,Nicholas Humphries,85,140,14,2.5,10,15,23,19,17,21,2,3,0,2
Ticking Clock,2011,Ernie Barbarash,101,229,14,2.6,7,12,21,28,28,20,12,5,1,0
Maroko,1990,Mamoru Oshii,90,60,14,3.6,0,0,0,0,1,2,9,9,4,2
Skyrunners,2009,Ralph Hemecker,92,204,17,2.6,4,15,12,23,21,16,2,3,0,3
The Narrow World,2017,Brent Bonacorso,15,147,13,3.1,0,2,5,8,21,31,17,8,2,3
Doctor Who: The Invasion,1968,Douglas Camfield,194,206,63,3.9,0,0,0,1,2,15,14,31,20,23
This Is Not a Movie,2011,Olallo Rubio,99,152,7,2.5,14,9,13,11,16,18,3,2,0,2
Transmorphers Fall of Man,2009,Scott Wheeler,90,184,10,2.0,30,31,23,13,4,3,5,1,0,0
Snowmageddon,2011,Sheldon Wilson,86,166,14,2.4,11,15,20,29,12,8,7,1,0,3
Tiger & Bunny: The Beginning,2012,Yoshitomo Yonetani,88,217,28,3.4,0,0,1,1,15,36,30,21,4,5
Urusei Yatsura 4: Lum the Forever,1986,Kazuo Yamazaki,93,158,23,3.4,1,1,3,7,11,20,8,14,6,10
Earthling,2011,Clay Liford,114,113,4,2.6,3,12,15,15,14,11,6,1,0,2
Kraken: Tentacles of the Deep,2006,Tibor Takács,88,144,7,2.6,8,13,9,15,14,8,3,1,0,3
Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,2002,Michael Vejar,90,267,22,2.8,3,10,13,26,28,29,15,13,0,4
Identicals,2015,Simon Pummell,100,135,4,2.5,6,13,14,27,12,8,5,0,0,1
The Quatermass Conclusion,1979,Piers Haggard,102,117,21,3.2,0,1,2,7,8,15,13,8,1,2
High Desert Kill,1989,Harry Falk,89,72,9,3.0,0,3,4,6,10,7,4,2,1,0
Danny Phantom: The Ultimate Enemy,2005,Butch Hartman,50,342,70,3.5,1,2,2,1,7,41,31,35,11,17
A Cosmic Christmas,1977,Clive A. Smith,26,98,23,3.2,1,3,1,6,10,18,7,7,2,5
The Humanoid,1986,Shin'ichi Masaki,45,94,15,2.9,2,5,6,9,6,16,4,0,1,1
Vampires: Out For Blood,2004,Richard Brandes,95,156,7,2.5,5,16,13,26,11,13,5,4,0,0
Meow,2017,Benny Chan,109,84,6,2.9,4,5,3,15,5,14,4,5,0,1
Helix,2015,Eric Petey,98,181,1,2.9,7,5,10,17,13,27,27,11,4,1
Oblivious Memory,2016,Ruy Guerra,95,126,15,3.1,3,2,5,10,17,12,18,15,4,2
Anonymous Rex,2004,Julian Jarrold,120,145,10,2.7,7,16,7,11,6,6,2,6,0,4
Sheborg Massacre,2016,Daniel Armstrong,90,94,16,2.8,9,5,6,15,13,14,7,4,2,1
Joe Woke Up at 6AM on a Monday,2016,James Haves,10,128,30,3.4,0,0,5,5,9,15,13,15,6,5
Control Plan,2018,Juliana Antunes,15,189,29,3.4,0,2,2,10,5,26,22,44,3,7
Sinbad: Beyond the Veil of Mists,2000,Evan Ricks,85,321,25,2.7,12,9,4,33,12,12,7,7,1,5
On the Beach,2000,Russell Mulcahy,195,175,14,3.1,3,3,5,12,16,25,22,7,6,2
Code Geass: Akito the Exiled 5: To Beloved Ones,2016,Kazuki Akane,60,274,27,2.8,7,10,11,32,25,31,17,10,5,7
Watchers Reborn,1998,John Carl Buechler,90,111,7,2.9,0,8,6,10,8,12,2,4,1,1
Naked Souls,1996,Lyndon Chubbuck,85,177,7,2.1,16,36,16,19,6,5,2,2,0,0
Happy End,2009,"Arnaud Larrieu,Jean-Marie Larrieu",130,157,12,3.0,4,4,6,12,12,23,21,9,4,2
Battle Beneath the Earth,1967,Montgomery Tully,91,119,15,2.8,0,4,4,23,19,16,4,1,0,0
Flight World War II,2015,Emile Edwin Smith,90,168,12,2.2,24,24,17,17,5,16,1,5,0,1
Babylon 5: The Lost Tales - Voices in the Dark,2007,"J. Michael Straczynski,Sara Barnes",75,296,23,3.1,0,5,5,17,26,58,27,15,3,5
Native,2016,Daniel Fitzsimmons,86,87,11,2.7,5,8,6,18,8,12,3,3,0,2
Wam Bam Thank You Spaceman,1974,William A. Levey,75,97,11,2.8,9,3,5,14,6,5,3,4,0,1
The 25th Reich,2012,Stephen Amis,85,172,6,2.4,15,21,15,26,18,15,3,3,1,1
Puzzlehead,2005,James Bai,81,122,13,3.1,3,5,5,6,7,26,13,9,4,0
City Under Siege,2010,Benny Chan,110,195,6,2.6,5,9,20,24,19,26,4,0,0,1
Jumpin' Jupiter,1955,Chuck Jones,7,272,43,3.6,0,2,0,6,6,17,23,34,6,16
Warlords,1988,Fred Olen Ray,87,80,11,3.0,1,7,4,11,5,8,1,4,0,4
Miami Golem,1985,Alberto De Martino,85,81,10,2.9,1,7,5,8,12,8,3,2,0,0
Max Magician and the Legend of the Rings,2002,Kevin Summerfield,86,167,21,2.1,29,35,18,6,3,3,0,3,2,7
Alien Tampon,2015,Jan Zenkner,3,146,19,3.0,9,6,3,6,11,19,4,7,3,8
Lego Star Wars: Bombad Bounty,2010,Peder Pedersen,5,251,48,3.1,3,6,7,16,23,33,18,13,4,10
The Man Who Wasn't There,1983,Bruce Malmuth,111,127,4,2.6,3,7,18,18,8,6,2,1,0,1
Centrespread,1981,Tony Paterson,82,73,15,2.9,3,5,5,3,13,11,3,4,0,1
Deadly Invasion: The Killer Bee Nightmare,1995,Rockne S. O'Bannon,85,179,11,2.5,10,13,14,26,17,10,4,0,0,3
Serpentarius,2019,Carlos Conceição,83,102,12,3.1,1,1,5,8,13,15,5,11,2,2
Scrat: Spaced Out,2016,"Galen T. Chu,Mike Thurmeier",15,273,28,2.8,6,13,7,24,26,25,11,13,5,4
Doctor Who: The Talons of Weng-Chiang,1977,David Maloney,150,257,78,3.8,2,2,0,1,8,11,16,34,20,33
Beyond the Rising Moon,1988,Philip J. Cook,84,84,6,2.9,1,4,7,12,14,17,3,1,0,1
Alien Terror,1971,"Jack Hill,José Luis González de León,Juan Ibáñez",90,58,4,2.8,2,8,6,8,4,3,2,0,0,1
Laika,2017,Aurel Klimt,87,128,21,3.0,0,4,5,12,18,28,20,7,2,1
Nightmare Code,2014,Mark Netter,90,76,4,3.1,0,2,5,8,12,9,9,5,0,0
Terminal City Ricochet,1990,Zale Dalen,107,68,10,3.0,4,3,0,7,9,10,5,3,1,0
Star Wars: Droids - The Great Heep,1986,,48,212,16,2.7,5,11,8,24,11,17,7,3,2,4
The Blackout,2009,Robert David Sanders,80,140,4,2.3,7,32,13,16,8,2,5,0,0,1
Frankenstein,1973,Glenn Jordan,180,79,10,3.1,2,0,2,9,10,17,2,4,0,2
Robo Warriors,1996,Ian Barry,89,95,7,2.8,0,7,6,12,15,5,3,0,1,0
The Land That Time Forgot,2009,C. Thomas Howell,90,244,8,1.9,37,44,18,19,5,6,3,1,0,2
Sasquatch Mountain,2006,Steven R. Monroe,90,142,9,2.4,7,23,18,17,14,6,5,1,0,2
Tik Tik Tik,2018,Shakti Soundar Rajan,130,231,21,2.7,4,9,17,35,34,41,13,9,2,0
The Questor Tapes,1974,Richard A. Colla,100,106,19,3.2,1,1,0,2,13,16,13,9,0,0
City Beneath the Sea,1971,Irwin Allen,98,114,14,2.8,1,9,9,8,16,12,3,1,1,1
"April 1, 2000",1952,Wolfgang Liebeneiner,105,54,4,3.2,0,1,0,4,6,12,4,2,0,1
The Veil,2017,Brent Ryan Green,86,172,6,2.1,31,26,22,17,7,6,2,0,1,3
Dangerous Worry Dolls,2008,Charles Band,75,139,11,2.6,17,10,5,17,6,16,10,2,2,1
Flying Monkeys,2013,Robert Grasmere,85,155,13,2.4,14,15,18,23,13,5,5,3,1,2
Droid,1988,Philip O'Toole,70,78,16,3.0,4,4,5,2,13,9,3,5,0,3
A Certain Magical Index: The Miracle of Endymion,2013,Hiroshi Nishikiori,90,271,23,2.9,2,10,10,21,28,50,27,15,0,1
Doctor Who: The Brain of Morbius,1976,Christopher Barry,100,270,81,3.8,0,0,0,1,3,18,25,47,15,23
Doctor Who: The Mind Robber,1968,David Maloney,125,212,72,3.8,0,0,1,0,3,13,23,38,12,23
Alien Terminator,1996,Dave Payne,80,96,8,2.4,8,25,5,11,3,5,1,2,0,1
We,1981,Vojtěch Jasný,98,57,7,3.2,0,1,0,7,6,9,6,0,0,3
Alien Planet,2005,Pierre de Lespinois,94,218,43,3.3,2,2,2,5,14,36,21,20,7,6
Game Box 1.0,2004,"David Hillenbrand,Scott Hillenbrand",83,163,11,2.3,11,29,14,18,12,9,3,2,1,1
Monsters,2015,Steve Desmond,13,167,27,3.3,1,4,3,5,18,27,25,27,3,6
Homoti,1987,Müjdat Gezen,81,94,6,2.5,17,11,5,5,0,1,1,1,0,5
The Flight That Disappeared,1961,Reginald Le Borg,72,123,11,2.8,1,5,8,26,21,22,5,4,0,0
Urusei Yatsura 3: Remember My Love,1985,Kazuo Yamazaki,93,179,24,3.2,0,1,2,14,6,27,15,14,6,2
Journey to the Center of Time,1967,David L. Hewitt,82,135,12,2.5,4,14,11,18,12,9,3,1,0,0
Hand of Death,1962,Gene Nelson,58,105,10,2.9,2,3,3,11,19,15,5,1,1,0
Real Playing Game,2013,David Rebordão,103,199,12,2.5,16,17,10,31,12,21,11,3,2,0
Nowhere Boys: The Book of Shadows,2016,David Caesar,80,176,20,2.8,3,10,8,20,26,23,6,2,2,5
The Body Stealers,1969,Gerry Levy,91,68,3,2.7,4,6,5,11,10,5,0,1,0,0
"Goodbye, Charley",2015,Nate Trinrud,6,210,29,3.1,2,2,6,19,14,29,13,10,4,6
Shadow of Chinatown,1936,Robert F. Hill,71,99,9,2.7,2,10,7,18,4,4,0,1,0,1
Clash of the Warlords,1985,Willy Milan,75,81,11,2.9,3,9,4,10,3,8,5,2,1,2
Terror of Frankenstein,1977,Calvin Floyd,92,98,10,3.0,0,3,3,9,15,18,6,4,1,0
A Man Called Rage,1984,Tonino Ricci,91,61,8,3.0,1,1,1,9,11,10,1,1,0,1
Caved In: Prehistoric Terror,2006,Richard Pepin,93,145,5,2.2,20,17,17,19,7,8,2,1,0,0
Carny,2009,Sheldon Wilson,88,180,13,2.5,8,13,11,27,13,14,5,2,1,0
Dead and Deader,2006,Patrick Dinhut,89,200,9,2.6,8,12,11,27,15,20,10,2,2,1
Doctor Who: The Enemy of the World,1968,Barry Letts,141,205,71,3.8,0,0,1,1,4,13,8,39,16,16
They Found Hell,2015,Nick Lyon,90,192,13,2.3,16,30,18,30,23,12,5,2,2,1
Invisible Avenger,1954,Motoyoshi Oda,70,50,12,3.3,0,1,0,4,6,12,4,6,0,1
The Sore Losers,1997,John Michael McCarthy,89,96,22,3.2,3,0,2,9,10,7,6,7,1,5
The Night the World Exploded,1957,Fred F. Sears,64,128,13,2.8,1,3,12,28,17,14,3,2,1,2
El año de la peste,1979,Felipe Cazals,109,90,24,3.3,0,0,1,2,6,31,13,12,3,1
Absolution,1997,David DeCoteau,95,118,10,2.2,11,33,17,9,4,2,1,1,0,1
O Jardim das Espumas,1970,Luiz Rosemberg Filho,100,110,12,3.2,2,4,2,3,6,18,13,14,2,3
Disaster L.A.: The Last Zombie Apocalypse Begins Here,2014,Turner Clay,82,216,6,1.8,47,32,20,32,5,8,1,0,0,0
The Immortalizer,1989,Joel Bender,96,87,10,2.7,3,5,12,14,15,7,2,3,0,0
Doctor Who: The Tenth Planet,1966,Derek Martinus,94,247,74,3.7,0,0,0,1,5,21,26,53,15,11
Alien Origin,2012,Mark Atkins,90,179,5,1.8,47,31,12,12,1,2,2,2,1,0
The Hatching,2017,Michael Anderson,90,165,9,2.4,9,21,17,28,17,19,5,0,0,0
Torture Ship,1939,Victor Halperin,49,101,2,2.4,5,16,16,13,7,2,1,1,0,0
Red Faction: Origins,2011,Michael Nankin,91,195,9,2.8,2,4,11,32,22,18,13,3,1,1
Sayonara Jupiter,1984,"Sakyo Komatsu,Koji Hashimoto",130,82,12,3.0,1,2,7,4,16,4,7,2,2,2
I Was a Zombie for the F.B.I.,1982,Marius Penczner,75,66,8,3.1,0,7,2,4,10,8,1,2,1,4
The Hollow One,2015,Nathan Hendrickson,97,111,9,2.4,12,12,17,16,15,6,5,2,0,0
Silent Möbius,1991,"Michitaka Kikuchi,Kazuo Tomisawa",50,128,17,3.2,0,1,1,6,14,15,15,7,1,0
Strange Beasts,2017,Magali Barbe,5,196,27,3.2,3,3,1,6,13,33,35,18,5,2
"Mirror, Mirror III: The Voyeur",1995,"Rachel Gordon,Virginia Perfili",91,74,3,2.5,11,10,7,12,4,2,1,0,0,0
Slipstream,2005,David van Eyssen,89,214,12,2.5,8,18,16,32,23,19,4,4,1,1
